schedule_index,interval_start,interval_end,num_samples,correct_count,error_rate,fid_to_global_conditioned
0,0.0,0.1,500,3,0.994,292.0851135253906
1,0.1,0.2,500,14,0.972,297.5927734375
2,0.2,0.3,500,44,0.912,272.8375549316406
3,0.3,0.4,500,82,0.836,229.6947021484375
4,0.4,0.5,500,92,0.8160000000000001,196.7670440673828
5,0.5,0.6,500,71,0.858,199.41262817382812
6,0.6,0.7,500,23,0.954,241.43890380859375
7,0.7,0.8,500,1,0.998,274.4481506347656
8,0.8,0.9,500,1,0.998,285.3490295410156
9,0.9,1.0,500,0,1.0,288.0140380859375
