schedule_index,interval_start,interval_end,num_samples,correct_count,error_rate,fid_to_global_conditioned,error_ci_low,error_ci_high,error_ci_half_width,fid_bootstrap_mean,fid_bootstrap_std,fid_bias_estimate,fid_raw_ci_low,fid_raw_ci_high,fid_ci_low,fid_ci_high,fid_ci_half_width,feature_count,fid_interval_method,fid_interval_raw_method,fid_num_estimates,fid_interval_median
0,0.0,0.1,500,3,0.994,292.0851135253906,0.9825097478959467,0.9979574037280398,0.0114902521040533,341.6721471569089,12.052182165176081,49.587033631518295,321.1783374971467,361.59469476767913,271.5913038656284,312.00766113616083,20.493809659762235,500,paired_permutation_folds_recentered_to_full_fid,paired_permutation_folds,50,340.6891983261242
1,0.1,0.2,500,14,0.972,297.5927734375,0.9535535973250512,0.9832490252792435,0.018446402674948792,348.79997514897025,11.37965030644467,51.20720171147025,331.63823183357215,371.2264016511576,280.4310301221019,320.0191999396873,22.426426502187326,500,paired_permutation_folds_recentered_to_full_fid,paired_permutation_folds,50,346.86220632501113
2,0.2,0.3,500,44,0.912,272.8375549316406,0.8839235279346099,0.9337940155250711,0.0280764720653901,325.519765139577,13.197817926121735,52.68221020793635,304.64839268403983,351.14507138480593,251.96618247610348,298.4628611768696,25.625306245228956,500,paired_permutation_folds_recentered_to_full_fid,paired_permutation_folds,50,326.17230418756395
3,0.3,0.4,500,82,0.836,229.6947021484375,0.8010053635257086,0.8658710796841282,0.03499463647429135,280.7650961635317,15.666044070675422,51.07039401509422,254.6569677348861,309.9779120268532,203.5865737197919,258.90751801175895,29.212815863321453,500,paired_permutation_folds_recentered_to_full_fid,paired_permutation_folds,50,279.4330347372562
4,0.4,0.5,500,92,0.8160000000000001,196.7670440673828,0.7796708962064596,0.8475105206218394,0.036329103793540485,244.3337483862473,15.392462286221404,47.56670431886448,219.11494999317725,281.23787179448215,171.54824567431277,233.67116747561766,36.90412340823485,500,paired_permutation_folds_recentered_to_full_fid,paired_permutation_folds,50,243.59070203141312
5,0.5,0.6,500,71,0.858,199.41262817382812,0.8246703326752246,0.885870639554304,0.03332966732477538,245.78329222996044,15.856643213199083,46.37066405613231,220.07994173347092,271.3498640363916,173.7092776773386,224.97919998025927,25.70335049648952,500,paired_permutation_folds_recentered_to_full_fid,paired_permutation_folds,50,246.4085953785712
6,0.6,0.7,500,23,0.954,241.43890380859375,0.9319222072317267,0.9691548916291838,0.022077792768273263,289.815917367415,11.834398875576616,48.37701355882126,269.58588773085313,310.27477663577434,221.20887417203187,261.8977630769531,20.458859268359333,500,paired_permutation_folds_recentered_to_full_fid,paired_permutation_folds,50,290.5325463434358
7,0.7,0.8,500,1,0.998,274.4481506347656,0.9887592932948532,0.9996468636054407,0.009240706705146762,323.01439672052186,8.735705951522542,48.566246085756234,306.17532340505466,340.87906448634317,257.6090773192984,292.31281840058693,17.86466776582131,500,paired_permutation_folds_recentered_to_full_fid,paired_permutation_folds,50,323.3291405223391
8,0.8,0.9,500,1,0.998,285.3490295410156,0.9887592932948532,0.9996468636054407,0.009240706705146762,333.8978475403126,8.186827121912376,48.548817999297,315.4526809182925,349.1142167046352,266.9038629189955,300.5653987053382,18.44516662202011,500,paired_permutation_folds_recentered_to_full_fid,paired_permutation_folds,50,333.7439988228489
9,0.9,1.0,500,0,1.0,288.0140380859375,0.9923756595384479,1.0,0.007624340461552137,336.24774113525666,11.147536782423892,48.23370304931916,313.23927709660177,355.29898532212724,265.0055740472826,307.0652822728081,23.008464038654893,500,paired_permutation_folds_recentered_to_full_fid,paired_permutation_folds,50,337.3830641823523
