schedule_index,interval_start,interval_end,num_samples,correct_count,error_rate,fid_to_global_conditioned
0,0.2,0.6,500,64,0.872,261.7704162597656
1,0.25,0.65,500,26,0.948,293.2253723144531
2,0.3,0.7,500,7,0.986,314.4830627441406
3,0.35,0.75,500,3,0.994,324.62548828125
4,0.4,0.8,500,0,1.0,328.32940673828125
5,0.45,0.85,500,0,1.0,333.85125732421875
6,0.5,0.9,500,0,1.0,335.97344970703125
7,0.55,0.95,500,0,1.0,334.8872985839844
8,0.6,1.0,500,0,1.0,333.820556640625
9,0.65,1.0,500,0,1.0,333.1808776855469
10,0.7,1.0,500,0,1.0,327.7769775390625
11,0.75,1.0,500,0,1.0,322.55853271484375
12,0.8,1.0,500,0,1.0,320.63330078125
13,0.0,0.4,500,58,0.884,280.8738708496094
14,0.05,0.45,500,96,0.808,256.0601806640625
15,0.1,0.5,500,124,0.752,242.9462432861328
16,0.15,0.55,500,114,0.772,237.52301025390625
