schedule_index,interval_start,interval_end,num_samples,correct_count,error_rate,fid_to_global_conditioned
0,0.0,0.1,500,0,1.0,333.27984619140625
1,0.1,0.2,500,0,1.0,333.76123046875
2,0.2,0.3,500,0,1.0,333.5577392578125
3,0.3,0.4,500,0,1.0,335.85040283203125
4,0.4,0.5,500,0,1.0,335.9249267578125
5,0.5,0.6,500,2,0.996,340.2384338378906
6,0.6,0.7,500,3,0.994,343.5616760253906
7,0.7,0.8,500,9,0.982,347.3809509277344
8,0.8,0.9,500,122,0.756,241.82839965820312
9,0.9,1.0,500,397,0.20599999999999996,54.7003173828125
