schedule_index,interval_start,interval_end,num_samples,correct_count,error_rate,fid_to_global_conditioned,error_ci_low,error_ci_high,error_ci_half_width,fid_bootstrap_mean,fid_bootstrap_std,fid_bias_estimate,fid_raw_ci_low,fid_raw_ci_high,fid_ci_low,fid_ci_high,fid_ci_half_width,feature_count,fid_interval_method,fid_interval_raw_method,fid_num_estimates
0,0.0,0.1,500,0,1.0,333.27984619140625,0.9923756595384479,1.0,0.007624340461552137,373.785231338327,11.676111025959354,40.50538514692073,350.00014654437985,400.6134683675829,309.4947613974591,360.1080832206622,26.828237029255945,500,paired_permutation_folds_recentered_to_full_fid,paired_permutation_folds,50
1,0.1,0.2,500,0,1.0,333.76123046875,0.9923756595384479,1.0,0.007624340461552137,374.2498386255061,11.53556300235987,40.48860815675607,356.2572561849393,397.668948034019,315.76864802818324,357.18033987726295,23.419109408512952,500,paired_permutation_folds_recentered_to_full_fid,paired_permutation_folds,50
2,0.2,0.3,500,0,1.0,333.5577392578125,0.9923756595384479,1.0,0.007624340461552137,374.12724556207263,11.292210816707104,40.56950630426013,352.5370990256472,396.1975482808152,311.96759272138706,355.6280419765551,22.070302718742596,500,paired_permutation_folds_recentered_to_full_fid,paired_permutation_folds,50
3,0.3,0.4,500,0,1.0,335.85040283203125,0.9923756595384479,1.0,0.007624340461552137,376.86604719745884,12.26867447540816,41.01564436542759,354.5166663776803,404.599548683959,313.5010220122527,363.5839043185314,27.73350148650013,500,paired_permutation_folds_recentered_to_full_fid,paired_permutation_folds,50
4,0.4,0.5,500,0,1.0,335.9249267578125,0.9923756595384479,1.0,0.007624340461552137,376.9086031447849,10.63913578352665,40.98367638697238,354.9557379337688,400.1381283165539,313.9720615467964,359.1544519295815,23.229525171769012,500,paired_permutation_folds_recentered_to_full_fid,paired_permutation_folds,50
5,0.5,0.6,500,2,0.996,340.2384338378906,0.9855342847848231,0.9989023694773173,0.010465715215176918,382.01238417593925,10.427021212839433,41.77395033804862,361.43869491321294,397.55437326610775,319.6647445751643,355.7804229280591,20.573689262726305,500,paired_permutation_folds_recentered_to_full_fid,paired_permutation_folds,50
6,0.6,0.7,500,3,0.994,343.5616760253906,0.9825097478959467,0.9979574037280398,0.0114902521040533,386.4570805267371,11.155420485432103,42.89540450134649,361.432185114384,400.58006822570485,318.53678061303754,357.68466372435836,25.02489541235309,500,paired_permutation_folds_recentered_to_full_fid,paired_permutation_folds,50
7,0.7,0.8,500,9,0.982,347.3809509277344,0.9661483290912607,0.990501806703803,0.01585167090873929,392.5568362768328,12.882820412623111,45.17588534909845,374.0750586940251,420.41734815224925,328.8991733449266,375.2414628031508,27.86051187541642,500,paired_permutation_folds_recentered_to_full_fid,paired_permutation_folds,50
8,0.8,0.9,500,122,0.756,241.82839965820312,0.7164951931439073,0.791601144539778,0.0395048068560927,285.3017324135853,19.213378121179307,43.47333275538216,256.15420071791647,320.4377312053874,212.6808679625343,276.96439845000526,35.13599879180214,500,paired_permutation_folds_recentered_to_full_fid,paired_permutation_folds,50
9,0.9,1.0,500,397,0.20599999999999996,54.7003173828125,0.17285664127336728,0.24362647091802545,0.037626470918025484,79.49400624765049,10.44094330363675,24.79368886483799,58.39683010266889,100.06894553109858,33.603141237830904,75.27525666626059,21.097176144981596,500,paired_permutation_folds_recentered_to_full_fid,paired_permutation_folds,50
