schedule_index,interval_start,interval_end,num_samples,correct_count,error_rate,fid_to_global_conditioned,error_ci_low,error_ci_high,error_ci_half_width,fid_bootstrap_mean,fid_bootstrap_std,fid_interval_median,fid_bias_estimate,fid_raw_ci_low,fid_raw_ci_high,fid_ci_low,fid_ci_high,fid_ci_half_width,feature_count,fid_interval_method,fid_interval_raw_method,fid_num_estimates
0,0.2,0.6,62,0,1.0,367.24859619140625,0.9416559278986275,0.9999999999999999,0.05834407210137249,406.3197042336183,29.990418350806717,402.59632960950574,39.071108042212074,366.06682990174215,470.5933618986877,326.9957218595301,431.52225385647563,64.27365766506938,62,paired_permutation_folds_recentered_to_full_fid,paired_permutation_folds,30
1,0.25,0.65,62,2,0.967741935483871,369.8164367675781,0.8897953040501456,0.9911086285001833,0.07794663143372538,409.6091108644718,22.879599012501945,403.10912517217537,39.79267409689368,373.8380874724542,449.6991791413982,334.04541337556054,409.9065050445045,40.09006827692639,62,paired_permutation_folds_recentered_to_full_fid,paired_permutation_folds,30
2,0.3,0.7,62,4,0.935483870967742,367.2139587402344,0.8455248427224712,0.9746270944795591,0.0899590282452708,408.3395153670687,25.39148154574269,408.7657259593816,41.12555662683434,355.5616695864089,458.22203086763767,314.4361129595746,417.09647424080333,52.77784578065979,62,paired_permutation_folds_recentered_to_full_fid,paired_permutation_folds,30
3,0.35,0.75,62,5,0.9193548387096774,378.6787414550781,0.8247142865138739,0.9650616530140073,0.09464055219580347,423.11417620261545,33.95208241728842,417.4287065621519,44.43543474753733,363.3831308724451,480.8733251219588,318.9476961249078,436.4378903744215,59.73104533017033,62,paired_permutation_folds_recentered_to_full_fid,paired_permutation_folds,30
4,0.4,0.8,62,6,0.9032258064516129,386.4219970703125,0.8045118138769258,0.954888127976806,0.09871399257468705,434.0248555980921,34.00746972077957,438.42777827372214,47.602858527779574,370.1813954681877,495.01040295023677,322.5785369404081,447.4075444224572,63.84346012990437,62,paired_permutation_folds_recentered_to_full_fid,paired_permutation_folds,30
5,0.45,0.85,62,14,0.7741935483870968,332.2806396484375,0.6559437908464204,0.8604481696141172,0.11824975754067635,379.83172355222825,26.1299640023987,375.14799955140256,47.551083903790754,334.932103527324,427.03896093918513,287.38101962353323,379.4878770353944,47.207237386956876,62,paired_permutation_folds_recentered_to_full_fid,paired_permutation_folds,30
6,0.5,0.9,62,32,0.4838709677419355,228.2726287841797,0.3640985983824575,0.6055254039433933,0.12165443620145777,279.39944790082956,38.16652373844774,280.39875558722235,51.12681911664987,220.37987374854052,352.9917476666622,169.25305463189065,301.86492855001234,73.59229976583265,62,paired_permutation_folds_recentered_to_full_fid,paired_permutation_folds,30
7,0.55,0.95,62,49,0.20967741935483875,104.35479736328125,0.12683989289511988,0.32639214897019314,0.1167147296153544,143.34642344250545,29.594573298401585,134.38285759340775,38.991626079224204,103.5758605291375,201.2490127658711,64.5842344499133,162.2573866866469,57.902589323365646,62,paired_permutation_folds_recentered_to_full_fid,paired_permutation_folds,30
8,0.6,1.0,62,62,0.0,7.7724151611328125,0.0,0.058344072101372456,0.058344072101372456,10.796094086854984,1.3516698985180937,10.619307771618573,3.0236789257221712,8.782813605925242,13.094169704818896,5.759134680203071,10.070490779096724,2.298075617963912,62,paired_permutation_folds_recentered_to_full_fid,paired_permutation_folds,30
9,0.65,1.0,62,62,0.0,9.300064086914062,0.0,0.058344072101372456,0.058344072101372456,12.865417277051282,2.036677037602448,12.569740657653565,3.5653531901372197,9.859031932891467,16.239962368280214,6.293678742754248,12.674609178142994,3.3745450912289314,62,paired_permutation_folds_recentered_to_full_fid,paired_permutation_folds,30
10,0.7,1.0,62,62,0.0,14.873023986816406,0.0,0.058344072101372456,0.058344072101372456,20.444785885052948,3.3918132422300227,20.331126613782462,5.5717618982365416,15.105509576843575,27.388364858171997,9.533747678607034,21.816602959935455,6.943578973119049,62,paired_permutation_folds_recentered_to_full_fid,paired_permutation_folds,30
11,0.75,1.0,62,62,0.0,19.408645629882812,0.0,0.058344072101372456,0.058344072101372456,26.75651337881437,4.679542379218964,26.632778700836848,7.347867748931556,18.927899912370982,34.155124805625775,11.580032163439427,26.80725705669422,7.828613466443386,62,paired_permutation_folds_recentered_to_full_fid,paired_permutation_folds,30
12,0.8,1.0,62,59,0.048387096774193505,30.297340393066406,0.016591685850580733,0.13288037927323956,0.08449328249904606,42.01165015953639,10.876714752880515,39.51374620846879,11.714309766469981,27.590663537090307,64.367385945481,15.876353770620328,52.65307617901103,22.355735785944624,62,paired_permutation_folds_recentered_to_full_fid,paired_permutation_folds,30
