schedule_index,interval_start,interval_end,num_samples,correct_count,error_rate,fid_to_global_conditioned
0,0.2,0.6,62,0,1.0,348.4581298828125
1,0.25,0.65,62,0,1.0,350.53472900390625
2,0.3,0.7,62,0,1.0,379.6593017578125
3,0.35,0.75,62,0,1.0,388.3822326660156
4,0.4,0.8,62,3,0.9516129032258065,403.6939392089844
5,0.45,0.85,62,4,0.935483870967742,401.77471923828125
6,0.5,0.9,62,26,0.5806451612903225,269.2703857421875
7,0.55,0.95,62,49,0.20967741935483875,156.03167724609375
8,0.6,1.0,62,61,0.016129032258064502,20.00226593017578
9,0.65,1.0,62,61,0.016129032258064502,28.07453155517578
10,0.7,1.0,62,57,0.08064516129032262,69.73164367675781
11,0.75,1.0,62,47,0.24193548387096775,146.67315673828125
12,0.8,1.0,62,17,0.7258064516129032,352.3994140625
